"utterance","intent"
"How can I reset my password","login_credentials"
"I forgot my login credentials like my username and password.","login_credentials"
"Help! I can't log in.","login_credentials"
"I'm having trouble logging in.","login_credentials"
"Is there a way to recover my account if I forgot my username and password?","login_credentials"
"I can't remember my password.","login_credentials"
"I need to reset my login information.","login_credentials"
"I think my account might be locked.","login_credentials"
"My username isn't working anymore.","login_credentials"
"Can you help me get back into my account? I forgot my password.","login_credentials"
"What should I do if I can't access my account?","login_credentials"
"I'm locked out of my account and can't log in. How do I regain access?","login_credentials"
"I've been locked out of my account and can't log in. How do I reset my password?","login_credentials"
"I've forgotten my password. How can I recover it?","login_credentials"
"How do I change my password if I can't remember it?","login_credentials"
"What steps should I take to reset my login details like my username and password?","login_credentials"
"I can't access to my profile and need to reset my password. Can you guide me through the process?","login_credentials"
"I'm locked out and unable to sign in. What's the procedure for password recovery?","login_credentials"
"My account seems to be disabled. What can I do to re-enable it?","login_credentials"
"How do I recover my account if I've forgotten my login credentials?","login_credentials"
"I forgot my username and password.","login_credentials"
"I seem to have forgotten my login credentials. I can't remember my username and password. How can I retrieve it?","login_credentials"
"I can't seem to remember my password. Is there a way to reset it?","login_credentials"
"Help! I've forgotten both my username and password. What should I do?","login_credentials"
"I'm having trouble logging in. Is there a way to recover my account?","login_credentials"
"Where can I find []?","navigation"
"How do I search for [] in my []?","navigation"
"I can't find the [] section on your website.","navigation"
"Do you have a direct link to your [] category page?","navigation"
"I'm looking for []. Can you share the link?","navigation"
"Could you provide the link to the [] section?","navigation"
"Where is the section for [] category?","navigation"
"Where do I find []. Could you send me a link?","navigation"
"Can you help me find the popular sale items?","navigation"
"Provide me a link to your most popular products.","navigation"
"Can you provide the link to the []?","navigation"
"I want to share a link to the [] with my friend. Where can I find it?","navigation"
"Where can I get the direct link for the []?","navigation"
"Do you have a link to the []?","navigation"
"I'm interested in the []. Could you send me the link?","navigation"
"How can I find the page for the []?","navigation"
"Can you provide the link to the []?","navigation"
"Where can I find the direct link for the []?","navigation"
"I'm looking for the link to the []. Can you assist?","navigation"
"Could you direct me to the page where I can browse your most popular []?","navigation"
"Do you have the link for the []?","navigation"
"I'm interested in browsing your selection of []. Can you share the link?","navigation"
"Can you provide a link to the section featuring []?","navigation"
"Can you direct me to the page for []?","navigation"
"I'm searching for []. Can you help me find it by providing the link to that category?","navigation"
"Can I change my saved address?","account_management"
"How do I update my email preferences and billing address?","account_management"
"How do I delete my account?","account_management"
"Can I change my notification preferences and unsubscribe from your newsletter?","account_management"
"Where do I adjust my profile settings like my email address?","account_management"
"Where can I see on my profile my past purchases? I mean viewing my order history.","account_management"
"I'd like to view my order history.","account_management"
"Can you show me what I ordered last time, my history of past purchases?","account_management"
"I need to change the email address on my account.","account_management"
"How do I update my saved phone number?","account_management"
"Is it possible to update my billing information?","account_management"
"How can I change my personal information like my email address, phone number and profile picture?","account_management"
"Where can I access my account settings to update my profile information?","account_management"
"Where can I find my saved addresses, my billing address?","account_management"
"I want to unsubscribe from your newsletter. How do I do that?","account_management"
"Can I set up two-factor authentication for my account?","account_management"
"How do I change my profile picture?","account_management"
"Is there a way to delete my account?","account_management"
"Where can I find my privacy and security settings? I want to set up two-factor authentication for my account.","account_management"
"Where can I see my past purchases more specifically my purchase history on my profile?","account_management"
"Where can I see what I ordered last time on my account? I mean my past history of purchases.","account_management"
"I want to change my privacy settings.","account_management"
"I am done with this site. I want to delete my account now!","account_management"
"Deleting my account now! Worst customer service ever!","account_management"
"I would like to delete my account but can't find the option. Is it under my profile settings?","account_management"
"How much does shipping cost?","shipping_info"
"Do you offer free shipping?","shipping_info"
"Do you ship to []?","shipping_info"
"How long does shipping usually take?","shipping_info"
"When can I expect my order to arrive?","shipping_info"
"Do you offer expedited shipping options?","shipping_info"
"Are there extra fees for shipping to []?","shipping_info"
"Do you ship internationally?","shipping_info"
"What are your shipping methods?","shipping_info"
"Do you offer shipping insurance?","shipping_info"
"How much will it cost to ship a package to country []?","shipping_info"
"What are the shipping charges for international orders?","shipping_info"
"Do you offer free shipping for purchases over a certain amount?","shipping_info"
"Could you provide an estimate of the shipping fees for expedited delivery?","shipping_info"
"What countries do you ship to? Can you clarify the shipping rates for international orders?","shipping_info"
"Do shipping costs vary based on the size or weight of the package?","shipping_info"
"Do you ship internationally worldwide to other countries?","shipping_info"
"Do you deliver overseas?","shipping_info"
